,Date;Cnc_Program_Name_RT;Cnc_Tool_Number_RT;System_IOLINK_CounterweightPressure;Axis_FeedRate_actual;Axis_Y_positionActualMCS_mm_d10000;System_IOLINK_HydraulicPressure;Axis_Y_power_percent;System_isHydraulicsOn;Axis_Z_positionActualMCS_mm_d10000;Axis_Z_power_percent;Cnc_Override_Axis;Target
104,2020-05-16T12:28:57.167Z;contrapeso.H;0;170;0;7872995;150;10;1;14878923;0;100;0
105,2020-05-16T12:28:58.166Z;contrapeso.H;0;170;0;7872995;149;10;1;14878923;0;100;0
106,2020-05-16T12:28:59.166Z;contrapeso.H;0;170;0;7872996;148;10;1;14878923;0;100;0
107,2020-05-16T12:29:00.166Z;contrapeso.H;0;170;0;7872995;147;10;1;14878923;0;100;0
108,2020-05-16T12:29:01.166Z;contrapeso.H;0;170;0;7872995;146;10;1;14878923;0;100;0
109,2020-05-16T12:29:02.166Z;contrapeso.H;0;170;0;7872996;145;10;1;14878923;0;100;0
110,2020-05-16T12:29:03.166Z;contrapeso.H;0;170;0;7872995;146;10;1;14878923;0;100;0
111,2020-05-16T12:29:04.166Z;contrapeso.H;0;170;0;7872995;146;10;1;14878923;0;100;0
112,2020-05-16T12:29:05.166Z;contrapeso.H;0;170;0;7872995;150;10;1;14878923;0;100;0
113,2020-05-16T12:29:06.166Z;contrapeso.H;0;170;0;7872995;155;10;1;14878923;0;100;0
114,2020-05-16T12:29:07.166Z;contrapeso.H;0;170;0;7872995;159;10;1;14878923;0;100;0
115,2020-05-16T12:29:08.166Z;contrapeso.H;0;170;0;7872995;164;10;1;14878923;0;100;0
116,2020-05-16T12:29:09.166Z;contrapeso.H;0;170;0;7872995;169;10;1;14878923;0;100;0
117,2020-05-16T12:29:10.166Z;contrapeso.H;0;170;0;7872996;168;10;1;14878923;0;100;0
118,2020-05-16T12:29:11.166Z;contrapeso.H;0;170;0;7872995;166;10;1;14878923;0;100;0
119,2020-05-16T12:29:12.166Z;contrapeso.H;0;170;0;7872995;165;10;1;14878923;0;100;0
120,2020-05-16T12:29:13.166Z;contrapeso.H;0;170;0;7872995;164;10;1;14878923;0;100;0
121,2020-05-16T12:29:14.166Z;contrapeso.H;0;170;0;7872995;162;10;1;14878923;0;100;0
122,2020-05-16T12:29:15.166Z;contrapeso.H;0;170;0;7872996;161;10;1;14878923;0;100;0
123,2020-05-16T12:29:16.167Z;contrapeso.H;0;170;0;7872995;160;10;1;14878923;0;100;0
124,2020-05-16T12:29:17.166Z;contrapeso.H;0;170;0;7872995;159;10;1;14878923;0;100;0
125,2020-05-16T12:29:18.166Z;contrapeso.H;0;170;0;7872995;158;10;1;14878923;0;100;0
126,2020-05-16T12:29:19.166Z;contrapeso.H;0;170;0;7872996;157;10;1;14878923;0;100;0
127,2020-05-16T12:29:20.166Z;contrapeso.H;0;170;0;7872995;155;10;1;14878923;0;100;0
128,2020-05-16T12:29:21.166Z;contrapeso.H;0;170;0;7872995;154;10;1;14878923;0;100;0
129,2020-05-16T12:29:22.166Z;contrapeso.H;0;170;0;7872995;153;10;1;14878923;0;100;0
130,2020-05-16T12:29:23.166Z;contrapeso.H;0;170;0;7872995;152;10;1;14878923;0;100;0
131,2020-05-16T12:29:24.166Z;contrapeso.H;0;170;0;7872996;151;10;1;14878923;0;100;0
132,2020-05-16T12:29:25.166Z;contrapeso.H;0;170;0;7872995;150;10;1;14878923;0;100;0
133,2020-05-16T12:29:26.166Z;contrapeso.H;0;170;0;7872995;149;10;1;14878923;0;100;0
134,2020-05-16T12:29:27.166Z;contrapeso.H;0;170;0;7872996;148;10;1;14878923;0;100;0
135,2020-05-16T12:29:28.167Z;contrapeso.H;0;170;0;7872995;147;10;1;14878923;0;100;0
136,2020-05-16T12:29:29.166Z;contrapeso.H;0;170;0;7872995;147;10;1;14878923;0;100;0
137,2020-05-16T12:29:30.166Z;contrapeso.H;0;170;0;7872995;146;10;1;14878923;0;100;0
138,2020-05-16T12:29:31.166Z;contrapeso.H;0;170;0;7872995;145;10;1;14878923;0;100;0
139,2020-05-16T12:29:32.166Z;contrapeso.H;0;170;0;7872995;146;10;1;14878923;0;100;0
140,2020-05-16T12:29:33.166Z;contrapeso.H;0;170;0;7872995;150;10;1;14878923;0;100;0
141,2020-05-16T12:29:34.166Z;contrapeso.H;0;170;0;7872996;155;10;1;14878923;0;100;0
