Date,Cnc_Program_Name_RT,Cnc_Tool_Number_RT,System_IOLINK_CounterweightPressure,Axis_FeedRate_actual,Axis_Y_positionActualMCS_mm_d10000,System_IOLINK_HydraulicPressure,Axis_Y_power_percent,System_isHydraulicsOn,Axis_Z_positionActualMCS_mm_d10000,Axis_Z_power_percent,Cnc_Override_Axis;;
2020-05-17T07:49:51.852Z,707d09f2c73d78d49d2e3bb4efa3c2768e2221110662b3ebbc30d237d1e125a1,0,169,0,7872996,165,11,1,14878923,0,100;;
2020-05-17T07:49:52.852Z,707d09f2c73d78d49d2e3bb4efa3c2768e2221110662b3ebbc30d237d1e125a1,0,169,0,7872995,169,11,1,14878923,0,100;;
2020-05-17T07:49:53.852Z,707d09f2c73d78d49d2e3bb4efa3c2768e2221110662b3ebbc30d237d1e125a1,0,169,0,7872995,168,11,1,14878923,0,100;;
2020-05-17T07:49:54.852Z,707d09f2c73d78d49d2e3bb4efa3c2768e2221110662b3ebbc30d237d1e125a1,0,169,0,7872995,167,11,1,14878923,0,100;;
2020-05-17T07:49:55.852Z,707d09f2c73d78d49d2e3bb4efa3c2768e2221110662b3ebbc30d237d1e125a1,0,169,0,7872995,165,11,1,14878923,0,100;;
2020-05-17T07:49:56.852Z,707d09f2c73d78d49d2e3bb4efa3c2768e2221110662b3ebbc30d237d1e125a1,0,169,0,7872996,165,11,1,14878923,0,100;;
2020-05-17T07:49:57.852Z,707d09f2c73d78d49d2e3bb4efa3c2768e2221110662b3ebbc30d237d1e125a1,0,169,0,7872995,164,11,1,14878923,0,100;;
2020-05-17T07:49:58.852Z,707d09f2c73d78d49d2e3bb4efa3c2768e2221110662b3ebbc30d237d1e125a1,0,169,0,7872996,163,11,1,14878923,0,100;;
2020-05-17T07:49:59.852Z,707d09f2c73d78d49d2e3bb4efa3c2768e2221110662b3ebbc30d237d1e125a1,0,169,0,7872995,162,11,1,14878923,0,100;;
2020-05-17T07:50:00.852Z,707d09f2c73d78d49d2e3bb4efa3c2768e2221110662b3ebbc30d237d1e125a1,0,169,0,7872995,160,11,1,14878923,0,100;;
2020-05-17T07:50:01.852Z,707d09f2c73d78d49d2e3bb4efa3c2768e2221110662b3ebbc30d237d1e125a1,0,169,0,7872996,159,11,1,14878923,0,100;;
2020-05-17T07:50:02.852Z,707d09f2c73d78d49d2e3bb4efa3c2768e2221110662b3ebbc30d237d1e125a1,0,169,0,7872995,158,11,1,14878923,0,100;;
2020-05-17T07:50:03.852Z,707d09f2c73d78d49d2e3bb4efa3c2768e2221110662b3ebbc30d237d1e125a1,0,169,0,7872995,157,11,1,14878923,0,100;;
2020-05-17T07:50:04.852Z,707d09f2c73d78d49d2e3bb4efa3c2768e2221110662b3ebbc30d237d1e125a1,0,169,0,7872995,156,11,1,14878923,0,100;;
2020-05-17T07:50:05.852Z,707d09f2c73d78d49d2e3bb4efa3c2768e2221110662b3ebbc30d237d1e125a1,0,169,0,7872995,155,11,1,14878923,0,100;;
2020-05-17T07:50:06.852Z,707d09f2c73d78d49d2e3bb4efa3c2768e2221110662b3ebbc30d237d1e125a1,0,169,0,7872995,154,11,1,14878923,0,100;;
2020-05-17T07:50:07.852Z,707d09f2c73d78d49d2e3bb4efa3c2768e2221110662b3ebbc30d237d1e125a1,0,169,0,7872996,153,11,1,14878923,0,100;;
2020-05-17T07:50:08.852Z,707d09f2c73d78d49d2e3bb4efa3c2768e2221110662b3ebbc30d237d1e125a1,0,169,0,7872995,152,11,1,14878923,0,100;;
2020-05-17T07:50:09.852Z,707d09f2c73d78d49d2e3bb4efa3c2768e2221110662b3ebbc30d237d1e125a1,0,169,0,7872995,151,11,1,14878923,0,100;;
2020-05-17T07:50:10.852Z,707d09f2c73d78d49d2e3bb4efa3c2768e2221110662b3ebbc30d237d1e125a1,0,169,0,7872996,150,11,1,14878923,0,100;;
2020-05-17T07:50:11.852Z,707d09f2c73d78d49d2e3bb4efa3c2768e2221110662b3ebbc30d237d1e125a1,0,169,0,7872995,149,11,1,14878923,0,100;;
2020-05-17T07:50:12.852Z,707d09f2c73d78d49d2e3bb4efa3c2768e2221110662b3ebbc30d237d1e125a1,0,169,0,7872995,148,11,1,14878923,0,100;;
2020-05-17T07:50:13.852Z,707d09f2c73d78d49d2e3bb4efa3c2768e2221110662b3ebbc30d237d1e125a1,0,169,0,7872995,147,11,1,14878923,0,100;;
2020-05-17T07:50:14.852Z,707d09f2c73d78d49d2e3bb4efa3c2768e2221110662b3ebbc30d237d1e125a1,0,169,0,7872996,147,11,1,14878923,0,100;;
2020-05-17T07:50:15.852Z,707d09f2c73d78d49d2e3bb4efa3c2768e2221110662b3ebbc30d237d1e125a1,0,169,0,7872995,146,11,1,14878923,0,100;;
2020-05-17T07:50:16.852Z,707d09f2c73d78d49d2e3bb4efa3c2768e2221110662b3ebbc30d237d1e125a1,0,169,0,7872995,145,11,1,14878923,0,100;;
2020-05-17T07:50:17.852Z,707d09f2c73d78d49d2e3bb4efa3c2768e2221110662b3ebbc30d237d1e125a1,0,169,0,7872996,146,11,1,14878923,0,100;;
